date,deaths,reported_deaths,cum_deaths,cum_rdeaths,deaths_7DMA,reported_deaths_7DMA
2020-03-15,1.0,0.0,1.0,0.0,,
2020-03-18,1.0,0.0,2.0,0.0,,
2020-03-20,1.0,0.0,3.0,0.0,,
2020-03-21,1.0,0.0,4.0,0.0,,
2020-03-23,3.0,0.0,7.0,0.0,,
2020-03-24,1.0,0.0,8.0,0.0,,
2020-03-26,2.0,1.0,10.0,1.0,1.0,0.0
2020-03-27,0.0,1.0,10.0,2.0,1.0,0.0
2020-03-28,1.0,2.0,11.0,4.0,1.0,1.0
2020-03-29,3.0,1.0,14.0,5.0,2.0,1.0
2020-03-30,8.0,1.0,22.0,6.0,3.0,1.0
2020-03-31,7.0,6.0,29.0,12.0,3.0,2.0
2020-04-01,4.0,5.0,33.0,17.0,4.0,2.0
2020-04-02,10.0,14.0,43.0,31.0,5.0,4.0
2020-04-03,8.0,6.0,51.0,37.0,6.0,5.0
2020-04-04,7.0,3.0,58.0,40.0,7.0,5.0
2020-04-05,7.0,6.0,65.0,46.0,7.0,6.0
2020-04-06,5.0,13.0,70.0,59.0,7.0,8.0
2020-04-07,7.0,6.0,77.0,65.0,7.0,8.0
2020-04-08,8.0,8.0,85.0,73.0,7.0,8.0
2020-04-09,10.0,6.0,95.0,79.0,7.0,7.0
2020-04-10,7.0,12.0,102.0,91.0,7.0,8.0
2020-04-11,6.0,3.0,108.0,94.0,7.0,8.0
2020-04-12,8.0,3.0,116.0,97.0,7.0,7.0
2020-04-13,8.0,8.0,124.0,105.0,8.0,7.0
2020-04-14,9.0,10.0,133.0,115.0,8.0,7.0
2020-04-15,8.0,7.0,141.0,122.0,8.0,7.0
2020-04-16,10.0,7.0,151.0,129.0,8.0,7.0
2020-04-17,9.0,8.0,160.0,137.0,8.0,7.0
2020-04-18,4.0,7.0,164.0,144.0,8.0,7.0
2020-04-19,10.0,4.0,174.0,148.0,8.0,7.0
2020-04-20,13.0,6.0,187.0,154.0,9.0,7.0
2020-04-21,12.0,18.0,199.0,172.0,9.0,8.0
2020-04-22,9.0,13.0,208.0,185.0,10.0,9.0
2020-04-23,8.0,6.0,216.0,191.0,9.0,9.0
2020-04-24,10.0,10.0,226.0,201.0,9.0,9.0
2020-04-25,9.0,5.0,235.0,206.0,10.0,9.0
2020-04-26,5.0,3.0,240.0,209.0,9.0,9.0
2020-04-27,4.0,6.0,244.0,215.0,8.0,9.0
2020-04-28,9.0,13.0,253.0,228.0,8.0,8.0
2020-04-29,8.0,7.0,261.0,235.0,8.0,7.0
2020-04-30,10.0,5.0,271.0,240.0,8.0,7.0
2020-05-01,10.0,8.0,281.0,248.0,8.0,7.0
2020-05-02,7.0,5.0,288.0,253.0,8.0,7.0
2020-05-03,11.0,0.0,299.0,253.0,8.0,6.0
2020-05-04,9.0,9.0,308.0,262.0,9.0,7.0
2020-05-05,12.0,17.0,320.0,279.0,10.0,7.0
2020-05-06,7.0,4.0,327.0,283.0,9.0,7.0
2020-05-07,11.0,11.0,338.0,294.0,10.0,8.0
2020-05-08,7.0,4.0,345.0,298.0,9.0,7.0
2020-05-09,10.0,6.0,355.0,304.0,10.0,7.0
2020-05-10,8.0,3.0,363.0,307.0,9.0,8.0
2020-05-11,7.0,4.0,370.0,311.0,9.0,7.0
2020-05-12,5.0,11.0,375.0,322.0,8.0,6.0
2020-05-13,5.0,4.0,380.0,326.0,8.0,6.0
2020-05-14,6.0,1.0,386.0,327.0,7.0,5.0
2020-05-15,10.0,4.0,396.0,331.0,7.0,5.0
2020-05-16,8.0,2.0,404.0,333.0,7.0,4.0
