death_reported_dt,delay_in_days
2020-04-01,17.0
2020-04-06,4.0
2020-03-31,3.0
2020-03-28,10.0
2020-04-02,12.0
2020-03-27,4.0
2020-03-31,8.0
2020-03-31,1.0
2020-04-06,1.0
2020-04-23,1.0
2020-04-06,0.0
2020-04-08,1.0
2020-03-29,0.0
2020-04-02,0.0
2020-04-06,4.0
2020-03-26,0.0
2020-05-11,4.0
2020-04-05,2.0
2020-04-06,3.0
2020-03-28,4.0
2020-04-02,2.0
2020-04-03,3.0
2020-04-04,0.0
2020-04-01,1.0
2020-05-01,1.0
2020-04-01,0.0
2020-04-09,1.0
2020-04-14,3.0
2020-04-02,0.0
2020-04-06,1.0
2020-04-01,2.0
2020-04-21,1.0
2020-04-03,1.0
2020-04-10,1.0
2020-04-02,4.0
2020-04-02,2.0
2020-04-22,6.0
2020-04-14,0.0
2020-03-31,1.0
2020-04-13,0.0
2020-04-01,6.0
2020-04-03,0.0
2020-04-08,0.0
2020-04-02,0.0
2020-04-07,3.0
2020-04-07,3.0
2020-04-02,3.0
2020-03-30,0.0
2020-04-10,2.0
2020-04-20,2.0
2020-04-18,6.0
2020-04-21,1.0
2020-04-28,7.0
2020-04-06,3.0
2020-04-03,1.0
2020-04-02,1.0
2020-03-31,2.0
2020-04-02,0.0
2020-04-02,1.0
2020-04-02,1.0
2020-04-06,4.0
2020-04-28,5.0
2020-04-21,2.0
2020-04-09,1.0
2020-04-03,11.0
2020-04-03,1.0
2021-06-01,313.0
2020-04-05,1.0
2020-04-29,0.0
2020-04-16,1.0
2020-04-07,1.0
2021-04-02,159.0
2020-07-08,66.0
2020-04-05,2.0
2020-04-05,0.0
2020-04-22,2.0
2020-04-04,0.0
2020-04-10,1.0
2020-04-23,4.0
2020-04-09,1.0
2020-06-18,19.0
2020-04-15,1.0
2020-04-12,1.0
2020-04-05,0.0
2020-04-10,1.0
2020-04-09,2.0
2021-06-01,356.0
2020-04-02,2.0
2020-04-06,3.0
2020-04-06,3.0
2020-04-06,2.0
2020-04-07,3.0
2020-05-17,1.0
2020-04-10,1.0
2020-04-10,1.0
2020-04-10,3.0
2020-04-08,0.0
2020-04-15,2.0
2020-04-08,3.0
2020-04-08,1.0
2020-04-10,1.0
2020-04-11,1.0
2020-04-15,2.0
2020-04-08,1.0
2020-04-15,1.0
2020-04-02,3.0
2020-04-06,1.0
2020-04-14,1.0
2020-04-07,1.0
2020-04-07,1.0
2020-04-18,4.0
2020-04-16,0.0
2020-05-19,5.0
2020-04-27,1.0
2020-04-13,1.0
2020-04-10,0.0
2021-06-01,367.0
2020-04-08,9.0
2020-06-11,4.0
2020-05-29,4.0
2020-04-22,2.0
2020-04-22,1.0
2020-04-17,3.0
2020-04-08,1.0
2020-04-14,3.0
2020-04-09,1.0
2020-04-09,0.0
2020-04-13,2.0
2020-04-16,7.0
2020-04-19,2.0
2020-04-17,0.0
2020-04-11,1.0
2020-04-14,5.0
2020-04-21,3.0
2020-04-28,6.0
2020-04-06,1.0
2020-05-19,1.0
2020-05-05,4.0
2020-04-10,1.0
2020-04-18,1.0
2020-04-28,1.0
2020-04-11,1.0
2021-06-01,378.0
2020-06-18,45.0
2021-06-01,403.0
2020-04-21,1.0
2020-04-12,1.0
2020-04-04,1.0
2020-03-31,0.0
2020-04-30,1.0
2020-05-05,2.0
2020-04-20,1.0
2020-04-23,1.0
2020-04-24,1.0
2020-04-14,1.0
2020-04-17,1.0
2020-04-16,1.0
2020-04-05,6.0
2020-04-25,1.0
2020-04-26,1.0
2020-04-12,2.0
2020-04-19,2.0
2021-06-01,335.0
2020-04-13,1.0
2020-04-15,1.0
2020-04-13,1.0
2020-04-13,1.0
2020-04-10,0.0
2020-05-11,5.0
2020-04-13,2.0
2020-04-20,1.0
2020-05-08,1.0
2020-05-09,1.0
2020-04-20,1.0
2020-04-22,2.0
2020-04-14,1.0
2020-04-13,1.0
2020-04-14,1.0
2020-04-14,0.0
2020-04-14,2.0
2021-05-17,23.0
2020-04-17,2.0
2020-05-12,5.0
2020-04-17,1.0
2020-05-05,1.0
2020-04-26,1.0
2020-04-10,4.0
2020-04-21,2.0
2020-04-26,1.0
2020-04-17,1.0
2020-04-16,1.0
2020-05-28,8.0
2021-03-10,313.0
2020-04-24,0.0
2020-04-19,1.0
2020-05-09,14.0
2020-04-15,3.0
2020-04-15,0.0
2020-04-17,1.0
2020-05-19,12.0
2020-04-16,1.0
2020-05-05,0.0
2020-04-21,2.0
2020-07-28,95.0
2020-04-29,1.0
2020-04-21,1.0
2020-04-24,1.0
2020-04-18,1.0
2020-04-30,0.0
2020-04-16,2.0
2020-04-18,4.0
2020-05-07,20.0
2020-04-21,2.0
2020-04-27,1.0
2020-05-29,20.0
2020-05-06,0.0
2020-04-28,6.0
2020-05-29,27.0
2021-06-01,370.0
2020-06-05,11.0
2021-03-10,319.0
2020-04-17,1.0
2020-04-22,1.0
2020-04-22,1.0
2020-04-30,1.0
2020-04-23,1.0
2020-05-12,0.0
2020-04-21,1.0
2021-06-01,388.0
2020-05-21,1.0
2020-05-05,0.0
2020-05-22,1.0
2020-04-24,8.0
2020-04-27,2.0
2020-04-22,1.0
2020-04-23,1.0
2020-06-06,2.0
2021-06-01,369.0
2021-06-01,346.0
2020-04-22,2.0
2020-04-18,1.0
2020-04-18,1.0
2020-05-04,6.0
2020-04-25,2.0
2020-04-29,5.0
2020-04-20,1.0
2020-04-30,1.0
2020-04-21,1.0
2020-04-21,3.0
2020-04-19,6.0
2020-05-01,1.0
2020-04-27,0.0
2020-05-01,1.0
2020-05-19,2.0
2020-04-21,0.0
2020-05-18,12.0
2020-04-22,1.0
2021-06-01,385.0
